year,broodline,district,subdist,strmnmb,Sum_P_AUC,Sum_C_AUC,pink_strm_life,chum_strm_life
1966,Even,228,60,810,92720,778,21.5,12.6
1966,Even,228,60,812,441950,18644,21.5,12.6
1966,Even,228,60,815,411775,46978,21.5,12.6
1966,Even,228,50,821,39617.5,16338,21.5,12.6
1966,Even,228,40,827,176000,0,21.5,12.6
1966,Even,228,40,828,246915,2110,21.5,12.6
1966,Even,228,40,831,17825,630,21.5,12.6
1966,Even,228,30,857,6390,0,14.2,12.6
1966,Even,228,30,861,37725,0,21.5,12.6
1967,Odd,221,10,11,2928.75,232.5,11.7,12.6
1967,Odd,221,20,20,0,0,11.8,12.6
1967,Odd,221,20,23,8000,1260,16,12.6
1967,Odd,221,20,35,141950,88410,16,12.6
1967,Odd,221,20,36,69000,9590,16,12.6
1967,Odd,221,30,46,9625,490,16,12.6
1967,Odd,221,30,48,82500,282210,16,12.6
1967,Odd,221,30,51,123750,133730,16,12.6
1967,Odd,221,30,52,73100,14740,16,12.6
1967,Odd,221,30,56,12700,2700,16,12.6
1967,Odd,221,40,76,306500,0,16,12.6
1967,Odd,221,40,80,13600,6390,16,12.6
1967,Odd,221,40,85,0,7560,16,12.6
1967,Odd,221,40,86,0,25900,16,12.6
1967,Odd,221,40,87,1600,49700,16,12.6
1967,Odd,221,40,88,2340,0,11.7,12.6
1967,Odd,221,40,89,64050,10950,16,12.6
1967,Odd,221,40,92,1020,0,6.8,12.6
1967,Odd,221,40,99,53430,0,10.2,12.6
1967,Odd,221,50,115,1622575,0,11.7,12.6
1967,Odd,221,50,116,146250,149200,11.7,12.6
1967,Odd,221,50,117,113900,107900,16,12.6
1967,Odd,221,50,123,14500,3050,16,12.6
1967,Odd,221,50,127,14150,107010,16,12.6
1967,Odd,221,50,129,5000,25530,16,12.6
1967,Odd,221,50,152,1885,2940,11.7,12.6
1967,Odd,221,50,153,236750,24680,16,12.6
1967,Odd,222,10,214,625,40540,16,12.6
1967,Odd,222,10,216,1600,19640,16,12.6
1967,Odd,222,20,224,12000,0,16,12.6
1967,Odd,222,20,229,40250,0,16,12.6
1967,Odd,222,20,233,3120,0,11.7,12.6
1967,Odd,222,20,234,1210150,238720,16,12.6
1967,Odd,222,20,257,0,0,16,12.6
1967,Odd,222,20,258,550650,1050,16,12.6
1967,Odd,222,20,263,0,0,11.7,12.6
1967,Odd,222,20,264,13700,2060,16,12.6
1967,Odd,222,30,276,19800,13675,11.8,12.6
1967,Odd,222,30,277,590,0,11.8,12.6
1967,Odd,222,30,279,9700,6500,6.8,12.6
1967,Odd,222,30,282,0,7580,16,12.6
1967,Odd,223,30,322,454750,60550,16,12.6
1967,Odd,223,10,421,13650,1470,16,12.6
1967,Odd,223,10,424,1250,0,16,12.6
1967,Odd,223,10,425,2850,3780,16,12.6
1967,Odd,223,10,430,54700,1150,16,12.6
1967,Odd,223,10,432,249250,0,16,12.6
1967,Odd,224,10,454,0,2075,16,12.6
1967,Odd,224,10,455,3170,415,11.8,12.6
